Name,Price,Link,Image_URL,Rating,Description,Product ID,Manufactured By,Sold By,Width,Depth,Height,Weight,Color,Materials,Category,Style,Number of Colors,List of Colors
"Knox 84"" Modern Farmhouse Loose Pillow-Back Sofa, Olive Green","$1,298",https://www.houzz.com/products/knox-84-modern-farmhouse-loose-pillow-back-sofa-olive-green-prvw-vr~205503496,https://st.hzcdn.com/fimgs/b181c1ad064257af_6411-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The perfect blend between casual comfort and style, the Knox Seating Collection by Jennifer Taylor Home brings cozy modern feelings into any space. The natural wood base and legs make a striking combination with the luxurious velvet upholstery. The back and arm pillows are all removable and reversible for the ultimate convenience of care. Whether lounging alone or entertaining friends, let the Knox chair and sofa be the quintessential backdrop of your daily routine.",205503496,Jennifer Taylor Home,Houzz,84.0 inches,34.0 inches,35.5 inches,115.0 lbs,Olive Green,,Sofas,Farmhouse,6,"Olive Green, Opal Gray, French Beige, Dark Navy Blue, Deep Brown, Fawn Brown"
"Valour Performance Velvet Sofa, Gray",$381,https://www.houzz.com/products/valour-performance-velvet-sofa-gray-prvw-vr~159765418,https://st.hzcdn.com/fimgs/1b11545200cd2c40_7656-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Update your home or apartment with the mid-century style and modern-day convenience of Valour. This comfortable living room sofa features a tailored profile with elegant biscuit tufting and two bolster pillows. Covered in soft, stain-resistant performance velvet upholstery, Valour has dense foam padding, an innerspring pocket structure, and sinuous spring support for a comprehensive seating experience. This luxe modern sofa comes with walnut-stained wood legs with non-marking foot caps and supports up to 881 lbs. Say goodbye to the days of hauling heavy furniture. This tufted sofa ships in a portable box for easy maneuvering.",159765418,LexMod,Homesquare,73.0 inches,31.5 inches,32.5 inches,93.0 lbs,Gray,"Wood frame+Zigzag spring, foam density 25KGS/m3, inner spring pocket structure,",Sofas,Midcentury,9,"Gray, Cognac, White, Teal, Dusty Rose, Mint, Pink, Green, Navy"
"Cozy Velvet Upholstered Comfort 4-Piece L-Shaped Modular Sectional, Cream","$2,434",https://www.houzz.com/products/cozy-velvet-upholstered-comfort-4-piece-l-shaped-modular-sectional-cream-prvw-vr~172085484,https://st.hzcdn.com/fimgs/7f4137c802740d4d_8886-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Bring home this Cozy 4-piece sectional for a fresh new look. Embrace casual elegance with this Cozy velvet cloud-like comfort modular fiber-filled seating option. Handsome from all angles, this piece features soft cream velvet upholstery to make it an easy fit in any room. This modular piece can be combined with other items in the Cozy collection to create a seating group of your dreams. The cushions on this piece are exceptionally comfortableand filled with fiber for luxury that you deserve as you rest and relax.",,,,None None,None None,None None,None None,,,,,5,"Cream, Black, Grey, Gray, Navy"
"Bonny Fabric Pillowback 3-Seater Sofa With Nailhead Trim, Charcoal/Dark Brown",$615,https://www.houzz.com/products/bonny-fabric-pillowback-3-seater-sofa-with-nailhead-trim-charcoal-dark-brown-prvw-vr~188879756,https://st.hzcdn.com/fimgs/b7f1623d02ec809c_5967-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Create a chic seating ensemble for your home. From its pillow-back design to included accent pillows, our three-seater sofa offers your home a classic contemporary upgrade. Featuring a stunning nailhead trim and rolled recessed armrests, this sofa stands as a streamlined statement piece that can change the whole flow of your living room, creating an open, clean space. Whether you are looking for a conversation with guests or a place to stretch out, this sofa provides a cozy yet refined touch to any room.",188879756,GDFStudio,GDFStudio,83.0 inches,31.0 inches,34.0 inches,97.89 lbs,Charcoal/Dark Brown,,Sofas,Traditional,3,"Charcoal/Dark Brown, Beige/Dark Brown, Brown/Dark Brown"
Vintage Industrial Loft 3-Seater Sofa Tufted Brown Faux Leather Upholstered Sofa,"$1,730",https://www.houzz.com/products/vintage-industrial-loft-3-seater-sofa-tufted-brown-faux-leather-upholstered-sofa-prvw-vr~174842962,https://st.hzcdn.com/fimgs/0cd116e200ec1461_0302-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Liven up your living room look with this striking industrial-inspired sofa. Founded atop four wood legs, this piece boasts colorful yet distinctive license plate patterns to create a chic look. While button tufted back and distressed brown tone evoke a sense of industrial, vintage charm. Upholstered in faux leather with elastic foam filler, this three-seater sofa provides comfortable seating and offers overnight guests a perfectly pleasant place to spend the night. Wooden frame and legs ensures lasting comfort and support. Deliver distinctive flair to any space with this handsome sofa!

- Overall Dimensions: 82.7""W x 32.3""D x 28.3""H (2100mmW x 820mmD x 720mmH)",174842962,Homary International Limited,Homary International Limited,82.7 inches,32.3 inches,28.3 inches,182.98 lbs,,Faux Leather,Sofas,Industrial,0,
"Harvey Reversible Sectional Sofa Chaise, Beige",$849,https://www.houzz.com/products/harvey-reversible-sectional-sofa-chaise-beige-prvw-vr~143417923,https://st.hzcdn.com/fimgs/2d31f5a6028fe6dd_6434-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Feel young again with the Harvey Collection! Made for modern day small space living, this European Style Modular Sectional Sofa with Reversible Chaise is the perfect choice for you to entertain your guests in style and comfort! The low-back, thick seat cushions and arms, welt finish, and accent pillows are all features for the trendiest look in modern day furnishings.
**OTTOMAN IS NOT INCLUDED**",143417923,Lilola Home,Houzz,104.0 inches,67.5 inches,31.5 inches,173.0 lbs,,"Fabric, Wood, Foam",Sectional Sofas,Transitional,0,
"Yuma Modern Velvet 3 Seater Sofa, Emerald/Dark Brown",$512,https://www.houzz.com/products/yuma-modern-velvet-3-seater-sofa-emerald-dark-brown-prvw-vr~153079791,https://st.hzcdn.com/fimgs/66c13e030f907441_8613-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Center your living room around utmost sophistication and charming style with our exquisite sofa. This three-seater sofa offers your interior space eye-catching aesthetics with its deep channel stitching and soft velvet upholstery, making this piece a perfect modern glam addition for any room. Finished with sleek tapered legs, this piece not only secures your decor in refined elegance but it also provides incredible relaxation for all. From cozy movie night gatherings to casual conversations, our sofa will have you anchored in style.

MODERN GLAM: Our sofa showcases smooth velvet textures and jewel-like colors that pair seamlessly with clean, straight lines for a luxurious modern glam look. Complemented with a curvaceous shell design and minimalistic structure, this sofa brings a sleek touch to any decor.

CHANNEL STITCHING: The channel stitching in the backrest and arms offers an extra touch of sophistication that provides a smooth design. The straight stitch pattern adds a bit of texture without sacrificing any comfort.

VELVET: Our velvet is 100% polyester, featuring a featherlike softness and unique sheen. With a built-in resistance to wrinkles and outstanding durability, this velvet is hands down the best option amongst velvets.

TONAL PIPING: The edges of the armrests are complemented with refined tonal piping, giving this piece an extra boost of style. This adds a dash of texture to its generously upholstered surface.

BIRCH WOOD LEGS: This sofa is supported by beautifully tapered birch wood legs which offer an attractive look and durable structure. Its fine grain takes stains well, giving this piece a gorgeous finish.",153079791,GDFStudio,GDFStudio,83.25 inches,30.0 inches,30.25 inches,20.28 lbs,Emerald/Dark Brown,"Velvet, Birch",Sofas,Midcentury,3,"Emerald/Dark Brown, Black/Dark Brown, Blush/Dark Brown"
"Jack 84"" Modern Tuxedo Square Button-Tufted Sofa, Sky Neutral Beige Polyester",$987,https://www.houzz.com/products/jack-84-modern-tuxedo-square-button-tufted-sofa-sky-neutral-beige-polyester-prvw-vr~141725761,https://st.hzcdn.com/fimgs/bd21127103dd4c61_1703-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"For a bold, modern statement to your living room decor, look at the Jack Seating Collection by Jennifer Taylor Home. The traditional Tuxedo silhouette gets a modern makeover in this perfectly square button tufted design, with tapered wood legs and a geometric silhouette reminiscent of the Chesterfield style. The medium-firm seat cushions are completely removable and reversible and are set off stylishly with two accents bolster pillows. Whether you're relaxing with your favorite book in the family room or entertaining guests, the Jack Seating Collection can fill any living situation with the matching set of sectional, sofa, loveseat, and armchair available.
*Fabric swatch available upon request",141725761,Jennifer Taylor Home,Houzz,84.0 inches,34.0 inches,32.0 inches,106.0 lbs,Sky Neutral Beige Polyester,"Wood, Upholstery",Sofas,Transitional,3,"Sky Neutral Beige Polyester, Hunter Green Velvet, Artic Blue Velvet"
"Revive Upholstered Fabric Sofa, Beige",$524,https://www.houzz.com/products/revive-upholstered-fabric-sofa-beige-prvw-vr~159641672,https://st.hzcdn.com/fimgs/2131d0d400cd2728_8681-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Give new vitality to your home or apartment living space with Revive. With a comfortable yet tailored profile and two bolster pillows, Revive beckons guests to sit and stay a while. Its soft fabric upholstery grants this sofa an approachable appeal that's echoed by its calming color, clean lines, and splayed wood legs. Arriving directly to your doorstep in a convenient shipping box, Revive easily unpacks to quickly become the most well-loved lounge spot in your home.",159641672,LexMod,First of a Kind USA Inc,72.0 inches,32.5 inches,33.5 inches,77.0 lbs,Beige,,Sofas,Midcentury,6,"Beige, Teal, Azure, White, Gray, Light Gray"
"Alana Lawson Three-Cushion Tight Back Sofa, Olive Green Performance Velvet","$1,278",https://www.houzz.com/products/alana-lawson-three-cushion-tight-back-sofa-olive-green-performance-velvet-prvw-vr~199979007,https://st.hzcdn.com/fimgs/a631147a067c3829_7222-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Alana Seating Collection by Jennifer Taylor Home is American country refinement and comfort at its best. The iconic Lawson style is reimagined with fluffy seat cushions, tight back, and gently rolled, recessed arms. Pretty enough to be dressed up in a sitting room yet comfortable for lounging and relaxing, the Alana is perfect for any space in the home. Featuring removable and reversible seat cushions for versatility, and solid wood legs with front casters for mobility. See the complete collection for the matching sofa and armchair.
*Fabric swatch available upon request",199979007,Jennifer Taylor Home,Houzz,88.0 inches,37.0 inches,32.5 inches,105.0 lbs,Olive Green Performance Velvet,"Polyester, Birch Wood, Pine Wood, Velvet, Linen",Sofas,Traditional,7,"Olive Green Performance Velvet, Light Beige Linen, Silver Grey Polyester, Sky Neutral Beige Polyester, Blue Lattice Woven, Peach Orange Velvet, Navy Blue Velvet"
